State,Week,Salesforce,Email,Website,TV,Meta,Instagram,Influencer,Year,Month,Quarter,Week_Number,Month_End,Quarter_End,Festival,Holiday,Sales
Andhra Pradesh,2023-01-02,496.0,13205.0,76588.0,495.0,522380.0,1020933.0,19.0,2023,1,1,1,False,False,1,1,564
Andhra Pradesh,2023-01-09,2003.0,11825.0,28198.0,500.0,893916.0,1127800.0,4.0,2023,1,1,2,False,False,1,1,720
Andhra Pradesh,2023-01-16,1740.0,4652.0,57482.0,404.0,1433245.0,1422521.0,23.0,2023,1,1,3,False,False,1,1,833
Andhra Pradesh,2023-01-23,1265.0,27191.0,92730.0,226.0,1886417.0,1309921.0,23.0,2023,1,1,4,False,False,1,1,880
Andhra Pradesh,2023-01-30,1253.0,16403.0,45363.0,408.0,1486410.0,1110026.0,25.0,2023,1,1,5,True,False,1,1,870
Andhra Pradesh,2023-02-06,2189.0,6509.0,25585.0,182.0,1442778.0,1044781.0,10.0,2023,2,1,6,False,False,0,0,831
Andhra Pradesh,2023-02-13,489.0,17194.0,102948.0,457.0,1003518.0,997179.0,8.0,2023,2,1,7,False,False,0,0,849
Andhra Pradesh,2023-02-20,1834.0,37608.0,95170.0,192.0,1522308.0,390995.0,30.0,2023,2,1,8,False,False,0,0,856
Andhra Pradesh,2023-02-27,743.0,11927.0,84206.0,249.0,1240253.0,792657.0,23.0,2023,2,1,9,True,False,0,0,909
Andhra Pradesh,2023-03-06,507.0,36000.0,97377.0,119.0,1245820.0,1536929.0,7.0,2023,3,1,10,False,False,0,0,854
Andhra Pradesh,2023-03-13,1458.0,11832.0,95228.0,114.0,1505730.0,147739.0,2.0,2023,3,1,11,False,False,0,0,865
Andhra Pradesh,2023-03-20,2447.0,9067.0,91620.0,245.0,1540627.0,1504113.0,12.0,2023,3,1,12,False,False,0,0,876
Andhra Pradesh,2023-03-27,1919.0,11904.0,65056.0,311.0,891909.0,1053417.0,21.0,2023,3,1,13,True,True,0,0,1051
Andhra Pradesh,2023-04-03,1975.0,14284.0,10175.0,87.0,425570.0,681459.0,12.0,2023,4,2,14,False,False,0,0,955
Andhra Pradesh,2023-04-10,1879.0,6583.0,74873.0,436.0,818942.0,276186.0,25.0,2023,4,2,15,False,False,0,0,911
Andhra Pradesh,2023-04-17,2030.0,24330.0,38591.0,128.0,1081233.0,1393823.0,16.0,2023,4,2,16,False,False,0,0,860
Andhra Pradesh,2023-04-24,1429.0,14671.0,94610.0,500.0,486218.0,81219.0,30.0,2023,4,2,17,True,False,0,0,922
Andhra Pradesh,2023-05-01,581.0,29287.0,60454.0,194.0,526412.0,1014029.0,27.0,2023,5,2,18,False,False,0,0,867
Andhra Pradesh,2023-05-08,2148.0,20658.0,109391.0,239.0,2382375.0,359302.0,15.0,2023,5,2,19,False,False,0,0,889
Andhra Pradesh,2023-05-15,1291.0,18821.0,74701.0,147.0,772253.0,1643565.0,26.0,2023,5,2,20,False,False,0,0,877
Andhra Pradesh,2023-05-22,1401.0,19898.0,69660.0,427.0,1873557.0,393561.0,14.0,2023,5,2,21,False,False,0,0,864
Andhra Pradesh,2023-05-29,1116.0,7939.0,110953.0,388.0,406755.0,1460858.0,2.0,2023,5,2,22,True,False,0,0,877
Andhra Pradesh,2023-06-05,701.0,29090.0,61207.0,113.0,2433528.0,1067395.0,10.0,2023,6,2,23,False,False,0,0,890
