State,Week,Salesforce,Email,Website,TV,Meta,Instagram,Influencer,Year,Month,Quarter,Week_Number,Month_End,Quarter_End,Festival,Holiday,Sales
Andhra Pradesh,2023-01-02,496,13205,76588,495,522380,1020933,19,2023,1,1,1,False,False,1,1,564
Andhra Pradesh,2023-01-09,2003,11825,28198,500,893916,1127800,4,2023,1,1,2,False,False,1,1,720
Andhra Pradesh,2023-01-16,1740,4652,57482,404,1433245,1422521,23,2023,1,1,3,False,False,1,1,833
Andhra Pradesh,2023-01-23,1265,27191,92730,226,1886417,1309921,23,2023,1,1,4,False,False,1,1,880
Andhra Pradesh,2023-01-30,1253,16403,45363,408,1486410,1110026,25,2023,1,1,5,True,False,1,1,870
Andhra Pradesh,2023-02-06,2189,6509,25585,182,1442778,1044781,10,2023,2,1,6,False,False,0,0,831
Andhra Pradesh,2023-02-13,489,17194,102948,457,1003518,997179,8,2023,2,1,7,False,False,0,0,849
Andhra Pradesh,2023-02-20,1834,37608,95170,192,1522308,390995,30,2023,2,1,8,False,False,0,0,856
Andhra Pradesh,2023-02-27,743,11927,84206,249,1240253,792657,23,2023,2,1,9,True,False,0,0,909
Andhra Pradesh,2023-03-06,507,36000,97377,119,1245820,1536929,7,2023,3,1,10,False,False,0,0,854
Andhra Pradesh,2023-03-13,1458,11832,95228,114,1505730,147739,2,2023,3,1,11,False,False,0,0,865
Andhra Pradesh,2023-03-20,2447,9067,91620,245,1540627,1504113,12,2023,3,1,12,False,False,0,0,876
Andhra Pradesh,2023-03-27,1919,11904,65056,311,891909,1053417,21,2023,3,1,13,True,True,0,0,1051
Andhra Pradesh,2023-04-03,1975,14284,10175,87,425570,681459,12,2023,4,2,14,False,False,0,0,955
Andhra Pradesh,2023-04-10,1879,6583,74873,436,818942,276186,25,2023,4,2,15,False,False,0,0,911
Andhra Pradesh,2023-04-17,2030,24330,38591,128,1081233,1393823,16,2023,4,2,16,False,False,0,0,860
Andhra Pradesh,2023-04-24,1429,14671,94610,500,486218,81219,30,2023,4,2,17,True,False,0,0,922
Andhra Pradesh,2023-05-01,581,29287,60454,194,526412,1014029,27,2023,5,2,18,False,False,0,0,867
Andhra Pradesh,2023-05-08,2148,20658,109391,239,2382375,359302,15,2023,5,2,19,False,False,0,0,889
Andhra Pradesh,2023-05-15,1291,18821,74701,147,772253,1643565,26,2023,5,2,20,False,False,0,0,877
Andhra Pradesh,2023-05-22,1401,19898,69660,427,1873557,393561,14,2023,5,2,21,False,False,0,0,864
Andhra Pradesh,2023-05-29,1116,7939,110953,388,406755,1460858,2,2023,5,2,22,True,False,0,0,877
Andhra Pradesh,2023-06-05,701,29090,61207,113,2433528,1067395,10,2023,6,2,23,False,False,0,0,890
Andhra Pradesh,2023-06-12,2339,5957,50068,124,609989,150512,13,2023,6,2,24,False,False,0,0,864
Andhra Pradesh,2023-06-19,2020,29418,49610,336,1045260,1318504,30,2023,6,2,25,False,False,0,0,859
Andhra Pradesh,2023-06-26,1717,39992,106003,444,1976630,1592355,26,2023,6,2,26,True,True,0,0,1040
Andhra Pradesh,2023-07-03,1185,31032,92703,126,583443,460947,6,2023,7,3,27,False,False,0,0,934
Andhra Pradesh,2023-07-10,2110,19303,26304,173,1419608,1745935,2,2023,7,3,28,False,False,0,0,881
Andhra Pradesh,2023-07-17,1500,13950,63159,309,1985204,1453197,17,2023,7,3,29,False,False,0,0,877
Andhra Pradesh,2023-07-24,1275,35157,49583,125,156743,1356509,17,2023,7,3,30,False,False,0,0,879
Andhra Pradesh,2023-07-31,1291,11773,80431,208,160884,657996,23,2023,7,3,31,True,False,0,0,969
Andhra Pradesh,2023-08-07,800,20330,13855,84,1992459,286251,9,2023,8,3,32,False,False,1,1,886
Andhra Pradesh,2023-08-14,502,31293,87982,290,730581,818448,25,2023,8,3,33,False,False,1,1,862
Andhra Pradesh,2023-08-21,1520,37050,91159,381,2282725,1468687,13,2023,8,3,34,False,False,1,1,842
Andhra Pradesh,2023-08-28,2254,36997,33377,253,2325745,1089041,11,2023,8,3,35,True,False,1,1,910
Andhra Pradesh,2023-09-04,440,5334,24873,188,2213031,1193681,14,2023,9,3,36,False,False,0,0,905
Andhra Pradesh,2023-09-11,2189,36134,78284,258,2492272,1423349,29,2023,9,3,37,False,False,0,0,881
Andhra Pradesh,2023-09-18,2121,6332,36786,294,2075241,662781,13,2023,9,3,38,False,False,0,0,849
Andhra Pradesh,2023-09-25,909,24210,113457,149,1020349,144254,18,2023,9,3,39,True,True,0,0,1017
Andhra Pradesh,2023-10-02,1690,37326,94826,126,2481320,1600533,27,2023,10,4,40,False,False,1,1,939
Andhra Pradesh,2023-10-09,663,26883,114962,156,930084,1135046,2,2023,10,4,41,False,False,1,1,899
